UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
1	3
0	9
0	8
0	0
4	0
0	0
2	7
0	1
1	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	2
0	5
0	5
3	14
1	1
0	3
0	0
0	0
0	1
6	0
0	0
0	12
0	1
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	7
1	4
1	3
9	5
8	1
0	0
0	1
57	2
0	0
0	0
1	23
2	23
0	0
3	0
0	20
0	20
7	14
0	8
0	13
1	1
1	4
0	0
0	0
1	30
0	30
0	26
0	16
0	9
1	3
0	0
0	0
0	2
0	1
1	6
1	0
1	0
0	0
0	0
3	14
0	68
0	0
1	0
1	5
23	90
0	77
0	0
0	32
0	10
4	87
4	81
0	6
6	15
2	22
0	0
5	6
7	383
0	299
0	211
0	6
0	123
1	115
0	64
1	86
2	67
0	2
0	6
1	124
0	120
0	69
1	1
1	70
3	13
50	129
0	0
0	49
0	127
0	2
3	57
5	64
0	63
0	61
0	54
4	23
0	11
0	13
0	10
0	10
0	4
0	0
1	0
44	308
6	121
4	9
14	8
1	6
4	9
6	0
0	11
2	10
0	162
0	167
9	158
0	169
1	11
0	161
0	165
1	203
0	101
0	154
0	7
0	0
2	0
1	24
0	0
2	0
3	5
1	0
0	1
0	0
4	11
118	65
0	49
0	84
0	18
0	0
0	0
0	0
2	7
0	70
12	70
3	69
2	18
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	3
0	0
0	0
0	0
0	34
1	40
15	57
3	34
16	9
0	41
0	5
0	31
0	67
0	74
0	72
0	67
9	43
0	86
0	69
12	39
0	2
0	3
0	1
1	15
0	3
8	6
127	32
14	14
1	7
4	4
0	19
8	0
11	4
29	2
29	16
0	16
9	0
3	1
0	281
1	294
0	284
0	284
1	111
1	0
5	1
0	24
1	0
1	18
5	0
2	1
0	0
14	35
0	5
0	24
1	27
0	1
0	0
3	0
0	30
1	30
1	28
0	13
0	0
0	29
0	29
0	28
3	2
0	5
0	3
0	25
0	26
0	0
0	1
0	0
0	0
0	0
0	2
1	0
0	81
0	64
0	74
0	59
0	0
1	10
0	10
6	23
0	23
0	24
0	14
0	14
32	28
0	28
5	1
0	21
